term,count_early,count_late,log_odds
size,0,9,2.3892167732537875
porn,0,8,2.2779778704411306
proactive aggression,0,8,2.2779778704411306
structural racism,0,8,2.2779778704411306
worry,0,8,2.2779778704411306
improves,0,8,2.2779778704411306
australia,0,8,2.2779778704411306
procedural justice,0,8,2.2779778704411306
network analysis,0,7,2.152801459960722
nonspecific psychotherapy,0,7,2.152801459960722
sensory-processing sensitivity,0,7,2.152801459960722
privacy,0,7,2.152801459960722
early exposure,0,7,2.152801459960722
scripts,0,7,2.152801459960722
genome,0,7,2.152801459960722
concept clarity,0,7,2.152801459960722
self-concept,0,6,2.0096873489696705
ct,0,6,2.0096873489696705
qualitative content-analysis,0,6,2.0096873489696705
nonoffending partners,0,6,2.0096873489696705
estrogen,0,6,2.0096873489696705
genetic liability,0,6,2.0096873489696705
insomnia severity index,0,6,2.0096873489696705
reward circuitry,0,6,2.0096873489696705
roman-catholic church,0,6,2.0096873489696705
model-selection,0,6,2.0096873489696705
collective efficacy,0,6,2.0096873489696705
attachment theory,0,6,2.0096873489696705
institutions,0,6,2.0096873489696705
substance use disorder,0,6,2.0096873489696705
segregation,0,6,2.0096873489696705
generation,0,5,1.8426199971321484
precuneus,0,5,1.8426199971321484
probability,0,5,1.8426199971321484
mobile phone addiction,0,5,1.8426199971321484
compassion satisfaction,0,5,1.8426199971321484
leukocyte telomere length,0,5,1.8426199971321484
neutralization,0,5,1.8426199971321484
facets,0,5,1.8426199971321484
mental pain,0,5,1.8426199971321484
exploratory factor-analysis,5,0,-2.9533524725970537
amygdala reactivity,5,0,-2.9533524725970537
sexual risk,5,0,-2.9533524725970537
family income,5,0,-2.9533524725970537
wife abuse,4,0,-2.7526586578858154
prenatal depression,4,0,-2.7526586578858154
episodic depression,4,0,-2.7526586578858154
i disorder,4,0,-2.7526586578858154
sexual revictimization,4,0,-2.7526586578858154
mineralocorticoid receptor,4,0,-2.7526586578858154
acculturative stress,4,0,-2.7526586578858154
prosecution,4,0,-2.7526586578858154
psychosocial problems,4,0,-2.7526586578858154
elementary-school,4,0,-2.7526586578858154
immune dysregulation,4,0,-2.7526586578858154
story,4,0,-2.7526586578858154
learned helplessness,4,0,-2.7526586578858154
care settings,4,0,-2.7526586578858154
detecting lies,3,0,-2.5013211108903075
behavioral symptoms,3,0,-2.5013211108903075
fmri evidence,3,0,-2.5013211108903075
neighborhood characteristics,3,0,-2.5013211108903075
oxytocin receptor,3,0,-2.5013211108903075
bdnf messenger-rna,3,0,-2.5013211108903075
housing instability,3,0,-2.5013211108903075
child health,3,0,-2.5013211108903075
transference-focused psychotherapy,3,0,-2.5013211108903075
declarative memory,3,0,-2.5013211108903075
long-term-care,3,0,-2.5013211108903075
mass index,3,0,-2.5013211108903075
befriend,3,0,-2.5013211108903075
neuropsychology,3,0,-2.5013211108903075
porotic hyperostosis,3,0,-2.5013211108903075
psychological treatment,3,0,-2.5013211108903075
neighborhood context,3,0,-2.5013211108903075
barrier,3,0,-2.5013211108903075
faah,3,0,-2.5013211108903075
juvenile stress,3,0,-2.5013211108903075
single mothers,3,0,-2.5013211108903075
agonist binding,3,0,-2.5013211108903075
