topic,topic_type,display_name,label_keywords,years,mean_share,share_2019_2021,share_2023_2025,kendall_tau,kendall_p,trend,theil_sen_slope_per_year,changepoint_indices
36,substantive,Image-based sexual abuse,"imagebased, nonconsensual, image, sexting, revenge, pornography, porn, digital",7,0.010674712764451703,0.004393755385599189,0.010476709793112821,0.9047619047619049,0.002777777777777778,increasing,0.002395738991676371,[]
1,substantive,Adverse childhood experiences (ACE),"ace, experience ace, household dysfunction, ace exposure, relationship ace, ace ace, disease, exposure ace",7,0.047489402085428,0.03824193063387094,0.053773067399435694,0.8095238095238096,0.010714285714285714,increasing,0.002940056897864326,[]
61,substantive,College students & campus prevention,"subjective wellbeing, subjective, satisfaction, hedonic, wellbeing resilience, resilience wellbeing, college, wellbeing young",7,0.007998624123135819,0.003300901245302048,0.008507171681020663,0.8095238095238096,0.010714285714285714,increasing,0.0019369061604478893,[]
13,substantive,"Cm, Mdd, History Cm, Relationship Cm","cm, mdd, history cm, relationship cm, cm experience, cm exposure, cm type, experience cm",7,0.014364129907334386,0.007591509537318269,0.018357595379194958,0.7142857142857143,0.03015873015873016,increasing,0.0023608110422260378,[]
23,substantive,"Mdd, Major Depressive, Depressive Mdd, Gyrus","mdd, major depressive, depressive mdd, gyrus, mdd healthy, connectivity, hcs, functional",7,0.013352810340889936,0.007836848104541036,0.01330026548934928,0.7142857142857143,0.03015873015873016,increasing,0.00226026681008082,[]
78,substantive,"Selfcompassion, Compassion, Shame, Selfcriticism","selfcompassion, compassion, shame, selfcriticism, mindfulness, gratitude, mediate role, posttraumatic growth",7,0.006162394289668423,0.0043463582277192565,0.006177558673350226,0.6190476190476191,0.06904761904761905,stable,0.0009596797992046796,[]
57,substantive,"Young People, People Experience, Harmful, Helpseeking","young people, people experience, harmful, helpseeking, barrier, app, safety, practitioner",7,0.008104072576818765,0.005564698286009991,0.008507192702778894,0.5238095238095238,0.1361111111111111,stable,0.0013659173022882373,[]
42,substantive,College students & campus prevention,"college, college student, student experience, academic, harassment, campus, assault, nursing student",7,0.009148248386074479,0.007931642420300901,0.007976918233119983,0.5238095238095238,0.1361111111111111,stable,0.0007625342003340085,[]
70,substantive,"Ptg, Heal, Inquiry, Recovery","ptg, heal, inquiry, recovery, growth, posttraumatic growth, redress, theme",7,0.006275940587372791,0.005074021151564456,0.006341719129092052,0.5238095238095238,0.1361111111111111,stable,0.0003416496765894835,[]
64,substantive,"Csam, Material Csam, Pornography, Enforcement","csam, material csam, pornography, enforcement, law enforcement, law, technology, digital",7,0.00680365683810018,0.004282255514193117,0.008979745752345078,0.5238095238095238,0.1361111111111111,stable,0.000958899306807709,[]
