Publication Year,topic,count,year_total,share
2019,100,1,1,1.0
2020,0,141,2038,0.06918547595682041
2020,1,76,2038,0.03729146221786065
2020,2,68,2038,0.033366045142296366
2020,3,40,2038,0.019627085377821395
2020,4,40,2038,0.019627085377821395
2020,5,44,2038,0.021589793915603533
2020,6,29,2038,0.01422963689892051
2020,7,17,2038,0.008341511285574092
2020,8,41,2038,0.020117762512266928
2020,9,43,2038,0.021099116781157997
2020,10,43,2038,0.021099116781157997
2020,11,47,2038,0.023061825318940136
2020,12,34,2038,0.016683022571148183
2020,13,14,2038,0.0068694798822374874
2020,14,23,2038,0.011285574092247301
2020,15,35,2038,0.01717369970559372
2020,16,35,2038,0.01717369970559372
2020,17,15,2038,0.007360157016683023
2020,18,32,2038,0.015701668302257114
2020,19,25,2038,0.01226692836113837
2020,20,21,2038,0.010304219823356232
2020,21,29,2038,0.01422963689892051
2020,22,28,2038,0.013738959764474975
2020,23,15,2038,0.007360157016683023
2020,24,30,2038,0.014720314033366046
2020,25,26,2038,0.012757605495583905
2020,26,19,2038,0.009322865554465163
2020,27,18,2038,0.008832188420019628
2020,28,24,2038,0.011776251226692836
2020,29,24,2038,0.011776251226692836
2020,30,20,2038,0.009813542688910697
2020,31,18,2038,0.008832188420019628
2020,32,22,2038,0.010794896957801767
2020,33,17,2038,0.008341511285574092
2020,34,18,2038,0.008832188420019628
2020,35,16,2038,0.007850834151128557
2020,36,5,2038,0.0024533856722276743
2020,37,18,2038,0.008832188420019628
2020,38,19,2038,0.009322865554465163
2020,39,14,2038,0.0068694798822374874
2020,40,21,2038,0.010304219823356232
2020,41,19,2038,0.009322865554465163
2020,42,17,2038,0.008341511285574092
2020,43,11,2038,0.005397448478900883
2020,44,24,2038,0.011776251226692836
2020,45,19,2038,0.009322865554465163
2020,46,16,2038,0.007850834151128557
2020,47,14,2038,0.0068694798822374874
2020,48,14,2038,0.0068694798822374874
2020,49,12,2038,0.005888125613346418
2020,50,13,2038,0.006378802747791953
2020,51,18,2038,0.008832188420019628
2020,52,13,2038,0.006378802747791953
2020,53,16,2038,0.007850834151128557
2020,54,13,2038,0.006378802747791953
2020,55,17,2038,0.008341511285574092
2020,56,11,2038,0.005397448478900883
2020,57,13,2038,0.006378802747791953
2020,58,23,2038,0.011285574092247301
2020,59,12,2038,0.005888125613346418
2020,60,13,2038,0.006378802747791953
2020,61,7,2038,0.0034347399411187437
2020,62,10,2038,0.004906771344455349
2020,63,21,2038,0.010304219823356232
2020,64,11,2038,0.005397448478900883
2020,65,13,2038,0.006378802747791953
2020,66,15,2038,0.007360157016683023
2020,67,17,2038,0.008341511285574092
2020,68,20,2038,0.009813542688910697
2020,69,14,2038,0.0068694798822374874
2020,70,11,2038,0.005397448478900883
2020,71,16,2038,0.007850834151128557
2020,72,11,2038,0.005397448478900883
2020,73,9,2038,0.004416094210009814
2020,74,14,2038,0.0068694798822374874
2020,75,11,2038,0.005397448478900883
2020,76,7,2038,0.0034347399411187437
