Publication Year,topic,count,year_total,share
2019,100,1,1,1.0
2020,0,141,1896,0.07436708860759493
2020,1,76,1896,0.04008438818565401
2020,2,68,1896,0.035864978902953586
2020,3,40,1896,0.02109704641350211
2020,4,40,1896,0.02109704641350211
2020,5,44,1896,0.023206751054852322
2020,6,29,1896,0.01529535864978903
2020,7,17,1896,0.008966244725738396
2020,8,41,1896,0.021624472573839662
2020,9,43,1896,0.02267932489451477
2020,10,43,1896,0.02267932489451477
2020,11,47,1896,0.024789029535864978
2020,13,14,1896,0.007383966244725738
2020,14,23,1896,0.012130801687763712
2020,15,35,1896,0.018459915611814346
2020,16,35,1896,0.018459915611814346
2020,18,32,1896,0.016877637130801686
2020,20,21,1896,0.011075949367088608
2020,21,29,1896,0.01529535864978903
2020,22,28,1896,0.014767932489451477
2020,23,15,1896,0.007911392405063292
2020,24,30,1896,0.015822784810126583
2020,25,26,1896,0.013713080168776372
2020,26,19,1896,0.010021097046413503
2020,27,18,1896,0.00949367088607595
2020,28,24,1896,0.012658227848101266
2020,29,24,1896,0.012658227848101266
2020,30,20,1896,0.010548523206751054
2020,33,17,1896,0.008966244725738396
2020,34,18,1896,0.00949367088607595
2020,35,16,1896,0.008438818565400843
2020,36,5,1896,0.0026371308016877636
2020,37,18,1896,0.00949367088607595
2020,38,19,1896,0.010021097046413503
2020,39,14,1896,0.007383966244725738
2020,40,21,1896,0.011075949367088608
2020,41,19,1896,0.010021097046413503
2020,42,17,1896,0.008966244725738396
2020,43,11,1896,0.0058016877637130804
2020,44,24,1896,0.012658227848101266
2020,45,19,1896,0.010021097046413503
2020,46,16,1896,0.008438818565400843
2020,47,14,1896,0.007383966244725738
2020,48,14,1896,0.007383966244725738
2020,49,12,1896,0.006329113924050633
2020,50,13,1896,0.006856540084388186
2020,51,18,1896,0.00949367088607595
2020,52,13,1896,0.006856540084388186
2020,53,16,1896,0.008438818565400843
2020,54,13,1896,0.006856540084388186
2020,55,17,1896,0.008966244725738396
2020,56,11,1896,0.0058016877637130804
2020,57,13,1896,0.006856540084388186
2020,58,23,1896,0.012130801687763712
2020,59,12,1896,0.006329113924050633
2020,60,13,1896,0.006856540084388186
2020,61,7,1896,0.003691983122362869
2020,62,10,1896,0.005274261603375527
2020,63,21,1896,0.011075949367088608
