term,frequency,betweenness,bridging_score
childhood,549,0.004972428573421949,0.0007880337516541521
experience,186,0.003961040430973506,0.0007572085997624037
model,444,0.00458020980662934,0.0007510911797227724
consequences,435,0.004432356498903619,0.0007292888132324824
life,331,0.0038864781691144647,0.0006694897172804002
care,395,0.003869648901487321,0.0006469454822584073
adolescent,384,0.0038154646305889324,0.0006409052034902912
household dysfunction,445,0.0036341146500005845,0.0005957253511797414
patterns,201,0.0031450936978945857,0.0005924896552286436
intervention,319,0.0033290051591383057,0.0005771185690889598
age,271,0.0032272192955588334,0.0005756926943535843
behaviors,370,0.003388342795049528,0.0005727226283336562
predictors,414,0.0034395666615925553,0.0005705719551692056
emotional abuse,494,0.003495355620963288,0.0005633529019667325
gender-differences,432,0.0033501474934509103,0.0005518517919161103
personality,325,0.0031727664316022913,0.0005482672704406882
childhood sexual-abuse,258,0.00303365451574003,0.0005459327663293215
outcomes,578,0.0034699699996090915,0.0005454810570386485
scale,517,0.0033340696801782985,0.0005334532619641179
history,362,0.003132751375521766,0.000531479008748896
aggression,439,0.0031782245911701505,0.0005221524918801123
family,259,0.0029009578075734704,0.0005216910443843696
sample,545,0.003259494084289171,0.0005171650224824089
vulnerability,199,0.0027357302809754365,0.000516339451133676
adults,682,0.003365319698222716,0.0005156396765237065
responses,274,0.0028704643791368565,0.0005110524052385473
posttraumatic-stress,162,0.0025758098364632594,0.0005056804387571451
disorders,797,0.0032800790880962534,0.000490874854884591
suicide,385,0.0029168408740519926,0.0004897448827273954
mental-disorders,179,0.0025162993992311556,0.0004845600438216226
adversity,550,0.0030153975202850125,0.0004777446473055643
pregnancy,361,0.002805140614780061,0.00047612186240804437
adolescence,584,0.003020336515001324,0.00047403021204336346
psychiatric-disorders,363,0.0027832833788986,0.00047197062199328185
strategies,130,0.002289488204434385,0.00046961959745478807
child,198,0.0024803994431722566,0.00046859183918269005
resilience,785,0.003120289987632957,0.0004680231303098084
alcohol,296,0.0026495668034808963,0.0004653479894890274
attachment,643,0.0030044334636526956,0.00046452897558856086
national sample,184,0.002413357753335165,0.00046229755867244085
