term,count_early,count_late,count_contemporary,rate_early,rate_late,burst_score,log_odds_late_vs_early
batterers,6,0,0,2.1666666666666665,0.16666666666666666,-2.5649493574615367,-3.1820507405726435
tsst,5,0,3,1.8333333333333333,0.16666666666666666,-2.3978952727983707,-3.014996655909477
exploratory factor-analysis,5,0,3,1.8333333333333333,0.16666666666666666,-2.3978952727983707,-3.014996655909477
family income,5,0,3,1.8333333333333333,0.16666666666666666,-2.3978952727983707,-3.014996655909477
amygdala reactivity,5,0,2,1.8333333333333333,0.16666666666666666,-2.3978952727983707,-3.014996655909477
avoidant,5,0,2,1.8333333333333333,0.16666666666666666,-2.3978952727983707,-3.014996655909477
episodic depression,5,0,1,1.8333333333333333,0.16666666666666666,-2.3978952727983707,-3.014996655909477
predicting domestic violence,8,1,4,2.8333333333333335,0.5,-1.7346010553881064,-2.3517024384992142
healthy-adults,8,1,1,2.8333333333333335,0.5,-1.7346010553881064,-2.3517024384992142
fkbp5 polymorphisms,7,1,2,2.5,0.5,-1.6094379124341003,-2.2265392955452077
early deprivation,7,1,2,2.5,0.5,-1.6094379124341003,-2.2265392955452077
emotional availability,11,2,3,3.8333333333333335,0.8333333333333334,-1.5260563034950494,-2.1431576866061572
childhood life events,6,1,3,2.1666666666666665,0.5,-1.466337068793427,-2.0834384519045344
botswana,6,1,2,2.1666666666666665,0.5,-1.466337068793427,-2.0834384519045344
adhd diagnosis,6,1,1,2.1666666666666665,0.5,-1.466337068793427,-2.0834384519045344
family-of-origin,6,1,5,2.1666666666666665,0.5,-1.466337068793427,-2.0834384519045344
pediatric primary-care,10,2,5,3.5,0.8333333333333334,-1.4350845252893225,-2.05218590840043
juvenile offenders,9,2,7,3.1666666666666665,0.8333333333333334,-1.33500106673234,-1.9521024498434478
hypnosis,5,1,1,1.8333333333333333,0.5,-1.2992829841302607,-1.9163843672413678
multisystemic therapy,5,1,2,1.8333333333333333,0.5,-1.2992829841302607,-1.9163843672413678
social disadvantage,5,1,4,1.8333333333333333,0.5,-1.2992829841302607,-1.9163843672413678
development deprivation,5,1,1,1.8333333333333333,0.5,-1.2992829841302607,-1.9163843672413678
countertransference,5,1,1,1.8333333333333333,0.5,-1.2992829841302607,-1.9163843672413678
schema,5,1,3,1.8333333333333333,0.5,-1.2992829841302607,-1.9163843672413678
developmental origins of health and disease,5,1,1,1.8333333333333333,0.5,-1.2992829841302607,-1.9163843672413678
neuropathic pain,5,1,2,1.8333333333333333,0.5,-1.2992829841302607,-1.9163843672413678
lies,5,1,1,1.8333333333333333,0.5,-1.2992829841302607,-1.9163843672413678
obsessive compulsive disorder,5,1,1,1.8333333333333333,0.5,-1.2992829841302607,-1.9163843672413678
sperm,5,1,2,1.8333333333333333,0.5,-1.2992829841302607,-1.9163843672413678
nonmedical use,5,1,2,1.8333333333333333,0.5,-1.2992829841302607,-1.9163843672413678
african americans,5,1,6,1.8333333333333333,0.5,-1.2992829841302607,-1.9163843672413678
seizure,5,1,3,1.8333333333333333,0.5,-1.2992829841302607,-1.9163843672413678
psychosocial problems,5,1,1,1.8333333333333333,0.5,-1.2992829841302607,-1.9163843672413678
psychiatric-symptoms,5,1,2,1.8333333333333333,0.5,-1.2992829841302607,-1.9163843672413678
proliferation,5,1,4,1.8333333333333333,0.5,-1.2992829841302607,-1.9163843672413678
