term,count_early,count_late,count_contemporary,rate_early,rate_late,burst_score,log_odds_late_vs_early
labor migration,0,1,2,0.16666666666666666,0.5,1.0986122886681098,0.48151090555700193
purging type,1,0,0,0.5,0.16666666666666666,-1.0986122886681098,-1.7157136717792163
intergenerational abuse and trauma,0,1,1,0.16666666666666666,0.5,1.0986122886681098,0.48151090555700193
absenteeism,2,2,2,0.8333333333333334,0.8333333333333334,0.0,-0.6171013831111072
behavioral plasticity,0,1,1,0.16666666666666666,0.5,1.0986122886681098,0.48151090555700193
funding,0,1,1,0.16666666666666666,0.5,1.0986122886681098,0.48151090555700193
question repetition,0,2,2,0.16666666666666666,0.8333333333333334,1.6094379124341005,0.9923365293229924
placental corticotrophin releasing hormone,1,0,0,0.5,0.16666666666666666,-1.0986122886681098,-1.7157136717792163
moral regeneration,1,0,0,0.5,0.16666666666666666,-1.0986122886681098,-1.7157136717792163
psychopathic personality,0,3,3,0.16666666666666666,1.1666666666666667,1.9459101490553135,1.3288087659442054
psychiatric diagnostic modules,3,1,2,1.1666666666666667,0.5,-0.8472978603872037,-1.4643992434983106
measure development,1,0,0,0.5,0.16666666666666666,-1.0986122886681098,-1.7157136717792163
health seeking,1,0,0,0.5,0.16666666666666666,-1.0986122886681098,-1.7157136717792163
rainfall,0,1,1,0.16666666666666666,0.5,1.0986122886681098,0.48151090555700193
corresponding author,0,1,1,0.16666666666666666,0.5,1.0986122886681098,0.48151090555700193
hiv prophylaxis,0,1,1,0.16666666666666666,0.5,1.0986122886681098,0.48151090555700193
glial fibrillary acidic protein (gfap),0,1,1,0.16666666666666666,0.5,1.0986122886681098,0.48151090555700193
epigenetic mechanisms,1,5,7,0.5,1.8333333333333333,1.2992829841302609,0.6821816010191535
cumulative interpersonal childhood adversity,0,0,1,0.16666666666666666,0.16666666666666666,0.0,-0.6171013831111072
tract-based spatial statistics,1,1,2,0.5,0.5,0.0,-0.6171013831111072
diathesis-stress model,0,2,4,0.16666666666666666,0.8333333333333334,1.6094379124341005,0.9923365293229924
white-matter alterations,0,1,1,0.16666666666666666,0.5,1.0986122886681098,0.48151090555700193
women's offending,0,1,1,0.16666666666666666,0.5,1.0986122886681098,0.48151090555700193
widowhood,1,0,0,0.5,0.16666666666666666,-1.0986122886681098,-1.7157136717792163
practice framework,1,0,0,0.5,0.16666666666666666,-1.0986122886681098,-1.7157136717792163
involuntary,1,0,2,0.5,0.16666666666666666,-1.0986122886681098,-1.7157136717792163
prediction modelling,1,0,0,0.5,0.16666666666666666,-1.0986122886681098,-1.7157136717792163
blue spaces,0,1,1,0.16666666666666666,0.5,1.0986122886681098,0.48151090555700193
non-clinical population,0,0,1,0.16666666666666666,0.16666666666666666,0.0,-0.6171013831111072
newspaper,3,2,2,1.1666666666666667,0.8333333333333334,-0.3364722366212129,-0.9535736197323201
illinois rape myth acceptance scale,0,1,1,0.16666666666666666,0.5,1.0986122886681098,0.48151090555700193
displaced persons,0,1,1,0.16666666666666666,0.5,1.0986122886681098,0.48151090555700193
case characteristics,0,0,1,0.16666666666666666,0.16666666666666666,0.0,-0.6171013831111072
violence and abuse,0,1,1,0.16666666666666666,0.5,1.0986122886681098,0.48151090555700193
toxic leadership,0,1,1,0.16666666666666666,0.5,1.0986122886681098,0.48151090555700193
altruism,3,4,5,1.1666666666666667,1.5,0.251314428280906,-0.3657869548302015
primitive bodily communications,1,0,0,0.5,0.16666666666666666,-1.0986122886681098,-1.7157136717792163
hospitalists,0,1,1,0.16666666666666666,0.5,1.0986122886681098,0.48151090555700193
childhood abuse experiences,0,2,2,0.16666666666666666,0.8333333333333334,1.6094379124341005,0.9923365293229924
showing disrespect,0,1,1,0.16666666666666666,0.5,1.0986122886681098,0.48151090555700193
interpersonal violence,32,53,75,10.833333333333334,17.833333333333332,0.49844156456626887,-0.11865981854483909
prospective studies,1,0,0,0.5,0.16666666666666666,-1.0986122886681098,-1.7157136717792163
clinico-pathological method,0,1,1,0.16666666666666666,0.5,1.0986122886681098,0.48151090555700193
intersectional marginality,0,1,1,0.16666666666666666,0.5,1.0986122886681098,0.48151090555700193
borderline personality disorder.,0,1,1,0.16666666666666666,0.5,1.0986122886681098,0.48151090555700193
epds,1,0,0,0.5,0.16666666666666666,-1.0986122886681098,-1.7157136717792163
non-physical intimate partner violence,0,1,2,0.16666666666666666,0.5,1.0986122886681098,0.48151090555700193
dalys-disability-adjusted life years,0,1,1,0.16666666666666666,0.5,1.0986122886681098,0.48151090555700193
communicative and collective memory,0,0,1,0.16666666666666666,0.16666666666666666,0.0,-0.6171013831111072
developmental victimology,0,0,1,0.16666666666666666,0.16666666666666666,0.0,-0.6171013831111072
emotional and psychological abuse,0,2,2,0.16666666666666666,0.8333333333333334,1.6094379124341005,0.9923365293229924
protein-malnutrition,0,0,1,0.16666666666666666,0.16666666666666666,0.0,-0.6171013831111072
arcuate fasciculus,0,1,1,0.16666666666666666,0.5,1.0986122886681098,0.48151090555700193
routine activities theory,3,1,1,1.1666666666666667,0.5,-0.8472978603872037,-1.4643992434983106
dancers,0,2,2,0.16666666666666666,0.8333333333333334,1.6094379124341005,0.9923365293229924
trauma-focused care,0,1,1,0.16666666666666666,0.5,1.0986122886681098,0.48151090555700193
