topic,display_name,term,log_odds_P4_vs_P1,count_P1,count_P4
0,Maternal & infant mental health,trpv,3.7693197181253737,0,26
0,Maternal & infant mental health,piglet,3.4096169118056654,0,18
0,Maternal & infant mental health,hsp,3.4096169118056654,0,18
0,Maternal & infant mental health,mtdna,3.4096169118056654,0,18
0,Maternal & infant mental health,sirt,3.232562929484695,0,15
0,Maternal & infant mental health,risky,3.165830466975499,0,14
0,Maternal & infant mental health,ephrinb,3.165830466975499,0,14
0,Maternal & infant mental health,enamel,3.094330416670984,0,13
0,Maternal & infant mental health,macrophage,3.094330416670984,0,13
0,Maternal & infant mental health,family,3.094330416670984,0,13
0,Maternal & infant mental health,sam,3.0173282909005037,0,12
0,Maternal & infant mental health,bladder,3.0173282909005037,0,12
0,Maternal & infant mental health,tinnitus,3.0173282909005037,0,12
0,Maternal & infant mental health,rxr,3.0173282909005037,0,12
0,Maternal & infant mental health,sertoli,3.0173282909005037,0,12
0,Maternal & infant mental health,tactile,-3.3380876200334226,11,0
0,Maternal & infant mental health,agt,-3.3380876200334226,11,0
0,Maternal & infant mental health,ase,-3.3380876200334226,11,0
0,Maternal & infant mental health,asymmetry,-3.3380876200334226,11,0
0,Maternal & infant mental health,handle,-3.3380876200334226,11,0
0,Maternal & infant mental health,habitual,-3.421519515606297,12,0
0,Maternal & infant mental health,npy,-3.421519515606297,12,0
0,Maternal & infant mental health,circuitry,-3.421519515606297,12,0
0,Maternal & infant mental health,mast,-3.636781770298966,15,0
0,Maternal & infant mental health,kor,-3.636781770298966,15,0
0,Maternal & infant mental health,lhb,-3.699352424031141,16,0
0,Maternal & infant mental health,homer,-3.699352424031141,16,0
0,Maternal & infant mental health,sert,-3.866557414127189,19,0
0,Maternal & infant mental health,matsep,-3.866557414127189,19,0
0,Maternal & infant mental health,right,-3.866557414127189,19,0
1,Adverse childhood experiences (ACE),multimorbidity,3.6097142849118162,0,50
1,Adverse childhood experiences (ACE),dementia,3.337891629376176,0,38
1,Adverse childhood experiences (ACE),offspring,3.2280235825026384,0,34
1,Adverse childhood experiences (ACE),middle-aged,3.00095435512081,0,27
1,Adverse childhood experiences (ACE),hr,2.963870818013574,0,26
1,Adverse childhood experiences (ACE),frailty,2.7545677198119227,0,21
1,Adverse childhood experiences (ACE),fall,2.7545677198119227,0,21
1,Adverse childhood experiences (ACE),cannabis,2.7068974161112607,0,20
1,Adverse childhood experiences (ACE),south,2.7068974161112607,0,20
1,Adverse childhood experiences (ACE),trait,2.656844742610578,0,19
1,Adverse childhood experiences (ACE),pces,2.656844742610578,0,19
1,Adverse childhood experiences (ACE),global,2.6041587579843695,0,18
1,Adverse childhood experiences (ACE),subjective,2.548546657473855,0,17
1,Adverse childhood experiences (ACE),gun,2.48966390988015,0,16
1,Adverse childhood experiences (ACE),africa,2.48966390988015,0,16
1,Adverse childhood experiences (ACE),postoperative,-3.573162730240565,6,0
1,Adverse childhood experiences (ACE),buy,-3.573162730240565,6,0
1,Adverse childhood experiences (ACE),effectiveness,-3.573162730240565,6,0
1,Adverse childhood experiences (ACE),ebp,-3.71637928783647,7,0
1,Adverse childhood experiences (ACE),sell,-3.71637928783647,7,0
1,Adverse childhood experiences (ACE),lgbtq,-3.71637928783647,7,0
1,Adverse childhood experiences (ACE),ibs,-3.841658158136977,8,0
1,Adverse childhood experiences (ACE),srph,-3.841658158136977,8,0
1,Adverse childhood experiences (ACE),cshcn,-3.9529995339880717,9,0
1,Adverse childhood experiences (ACE),luts,-3.9529995339880717,9,0
1,Adverse childhood experiences (ACE),partnership,-3.9529995339880717,9,0
1,Adverse childhood experiences (ACE),arterial,-4.053198746683393,10,0
1,Adverse childhood experiences (ACE),self-efficacy,-4.053198746683393,10,0
1,Adverse childhood experiences (ACE),metacognition,-4.053198746683393,10,0
1,Adverse childhood experiences (ACE),stiffness,-4.144286292428032,11,0
2,PTSD treatment (EMDR / trauma-focused CBT),acid,3.9914606600679674,0,34
2,PTSD treatment (EMDR / trauma-focused CBT),beta,3.6883577952726885,0,25
2,PTSD treatment (EMDR / trauma-focused CBT),c-ptsd,3.517367164824515,0,21
2,PTSD treatment (EMDR / trauma-focused CBT),cluster,3.517367164824515,0,21
2,PTSD treatment (EMDR / trauma-focused CBT),couple,3.3668112141687594,0,18
2,PTSD treatment (EMDR / trauma-focused CBT),revictimization,3.311150130462111,0,17
2,PTSD treatment (EMDR / trauma-focused CBT),online,3.311150130462111,0,17
2,PTSD treatment (EMDR / trauma-focused CBT),ace,3.311150130462111,0,17
2,PTSD treatment (EMDR / trauma-focused CBT),tire-exp,3.252218406209959,0,16
2,PTSD treatment (EMDR / trauma-focused CBT),cm,3.051274087980686,0,13
2,PTSD treatment (EMDR / trauma-focused CBT),sexuality,3.051274087980686,0,13
2,PTSD treatment (EMDR / trauma-focused CBT),fatty,3.051274087980686,0,13
