period,topic,count,period_total,share,display_name
P1_pre_pandemic,0,141,1897,0.07432788613600422,Maternal & infant mental health
P1_pre_pandemic,1,76,1897,0.040063257775434895,Adverse childhood experiences (ACE)
P1_pre_pandemic,2,68,1897,0.03584607274644175,PTSD treatment (EMDR / trauma-focused CBT)
P1_pre_pandemic,3,40,1897,0.021085925144965736,"Csa, Csa Survivor, Experience Csa, Survivor Csa"
P1_pre_pandemic,4,40,1897,0.021085925144965736,Intimate partner violence
P1_pre_pandemic,5,44,1897,0.02319451765946231,"Injury, Fracture, Infant, Head"
P1_pre_pandemic,6,29,1897,0.015287295730100159,"Attachment, Attachment Style, Style, Insecure"
P1_pre_pandemic,7,17,1897,0.008961518186610437,COVID-19 pandemic impact
P1_pre_pandemic,8,41,1897,0.02161307327358988,"Worker, Protection, Social Work, Social Worker"
P1_pre_pandemic,9,43,1897,0.022667369530838165,"Offender, Offend, Juvenile, Criminal"
P1_pre_pandemic,10,43,1897,0.022667369530838165,Epigenetics & DNA methylation
P1_pre_pandemic,11,47,1897,0.024775962045334738,"Cortisol, Hpa, Axis, Hpa Axis"
P1_pre_pandemic,13,14,1897,0.007380073800738007,"Cm, Mdd, History Cm, Relationship Cm"
P1_pre_pandemic,14,23,1897,0.012124406958355299,Adverse childhood experiences (ACE)
P1_pre_pandemic,15,35,1897,0.01845018450184502,"Hiv, Live Hiv, Adherence, Hiv Aid"
P1_pre_pandemic,16,35,1897,0.01845018450184502,"Drug, Opioid, Cannabis, Misuse"
P1_pre_pandemic,18,32,1897,0.01686874011597259,Psychosis & psychotic-like experiences
P1_pre_pandemic,20,21,1897,0.01107011070110701,"Church, Catholic, Clergy, Religious"
P1_pre_pandemic,21,29,1897,0.015287295730100159,Borderline personality disorder
P1_pre_pandemic,22,28,1897,0.014760147601476014,"Rape, Perpetrator, Assault, Myth"
P1_pre_pandemic,23,15,1897,0.00790722192936215,"Mdd, Major Depressive, Depressive Mdd, Gyrus"
P1_pre_pandemic,24,30,1897,0.0158144438587243,"Interviewer, Forensic Interview, Investigative, Forensic"
P1_pre_pandemic,25,26,1897,0.013705851344227728,"Pain, Chronic Pain, Pelvic, Pelvic Pain"
P1_pre_pandemic,26,19,1897,0.010015814443858724,"Eat, Ed, Eating, Binge Eat"
P1_pre_pandemic,27,18,1897,0.009488666315234581,"Sleep, Sleep Quality, Sleep Disturbance, Disturbance"
P1_pre_pandemic,28,24,1897,0.012651555086979441,"Connectivity, Functional, Functional Connectivity, Restingstate"
P1_pre_pandemic,29,24,1897,0.012651555086979441,"Bd, Bipolar, Mood, Bipolar Bd"
P1_pre_pandemic,30,20,1897,0.010542962572482868,"Emotion Regulation, Dysregulation, Emotion Dysregulation, Regulation Strategy"
P1_pre_pandemic,33,17,1897,0.008961518186610437,"Dissociation, Dissociative, Dissociative Experience, Identity"
P1_pre_pandemic,34,18,1897,0.009488666315234581,"Violence Exposure, Genderbased, Genderbased Violence, Exposure Violence"
P1_pre_pandemic,35,16,1897,0.008434370057986295,"Disability, Intellectual, Intellectual Disability, Id"
P1_pre_pandemic,36,5,1897,0.002635740643120717,Image-based sexual abuse
P1_pre_pandemic,37,18,1897,0.009488666315234581,"Parentchild, Parentchild Relationship, Parenting, Parentchild Interaction"
P1_pre_pandemic,38,19,1897,0.010015814443858724,"Sport, Athlete, Coach, Harassment"
P1_pre_pandemic,39,14,1897,0.007380073800738007,Maternal & infant mental health
