topic,display_name,share_P1,share_P4,absolute_change_P1_to_P4,relative_change_P1_to_P4,count_P1,count_P4,z_stat_P1_vs_P4,p_value_P1_vs_P4,kendall_tau,kendall_p,mk_trend,theil_sen_slope_per_year,share_P1_pre_pandemic,share_P2_pandemic_transition,share_P3_post_pandemic,share_P4_recent,p_adj_P1_vs_P4,prevalence_class
36,Image-based sexual abuse,0.002635740643120717,0.016154577130186885,0.013518836487066168,5.129046563192904,5,51,-4.445654941075685,8.762449922095072e-06,0.9047619047619049,0.002777777777777778,increasing,0.0026038109025660894,0.002635740643120717,0.007698709945900957,0.009962640099626401,0.016154577130186885,0.000841195192521127,rising
1,Adverse childhood experiences (ACE),0.040063257775434895,0.06430155210643015,0.02423829433099526,0.605000583498658,76,203,-3.6534388316549076,0.0002587514509293509,0.8095238095238096,0.010714285714285714,increasing,0.0034014953369792093,0.040063257775434895,0.04348730753225135,0.05603985056039851,0.06430155210643015,0.00828004642973923,rising
61,College students & campus prevention,0.0036900369003690036,0.011719987329743428,0.008029950429374424,2.176116566360469,7,37,-2.975474538451699,0.002925356334419371,0.8095238095238096,0.010714285714285714,increasing,0.0021847592889475674,0.0036900369003690036,0.006034124011652101,0.008509755085097551,0.011719987329743428,0.04680570135070994,rising
23,"Mdd, Major Depressive, Depressive Mdd, Gyrus",0.00790722192936215,0.013303769401330377,0.0053965474719682265,0.6824833702882483,15,42,-1.7591888932239637,0.0785454301308286,0.7142857142857143,0.03015873015873016,increasing,0.0025760156500328857,0.00790722192936215,0.010611735330836454,0.0161892901618929,0.013303769401330377,0.3516928613107469,rising
13,"Cm, Mdd, History Cm, Relationship Cm",0.007380073800738007,0.020589166930630346,0.013209093129892338,1.7898321191004118,14,65,-3.6656541647576484,0.0002467071372020957,0.7142857142857143,0.03015873015873016,increasing,0.002642524932873034,0.007380073800738007,0.010819808572617561,0.019925280199252802,0.020589166930630346,0.00828004642973923,rising
42,College students & campus prevention,0.008961518186610437,0.012036743744060817,0.00307522555745038,0.34315899308725717,17,38,-1.0203346548750105,0.30756977310629674,0.6190476190476191,0.06904761904761905,stable,0.0008941665918410103,0.008961518186610437,0.008531002913025386,0.007471980074719801,0.012036743744060817,0.6866674004233602,stable
78,"Selfcompassion, Compassion, Shame, Selfcriticism",0.0021085925144965737,0.007918910357934749,0.005810317843438176,2.7555432372505546,4,25,-2.6480210525996726,0.008096448303516413,0.6190476190476191,0.06904761904761905,stable,0.0010695363444572306,0.0021085925144965737,0.006450270495214316,0.006434205064342051,0.007918910357934749,0.0863621152375084,stable
57,"Young People, People Experience, Harmful, Helpseeking",0.006852925672113864,0.007285397529299968,0.00043247185718610446,0.06310762408323387,13,23,-0.17702306161770223,0.8594902750954361,0.5238095238095238,0.1361111111111111,stable,0.001517424810748142,0.006852925672113864,0.006242197253433208,0.010792860107928601,0.007285397529299968,0.959431004757696,stable
62,"Mindfulness, Satisfaction, Couple, Relationship Satisfaction",0.005271481286241434,0.008869179600886918,0.003597698314645484,0.6824833702882483,10,28,-1.4336487345172135,0.15167252866362624,0.5238095238095238,0.1361111111111111,stable,0.000728878937954028,0.005271481286241434,0.0070744902205576365,0.008509755085097551,0.008869179600886918,0.5278615340284502,stable
70,"Ptg, Heal, Inquiry, Recovery",0.005798629414865577,0.006968641114982578,0.0011700117001170011,0.2017738359201774,11,22,-0.5000652767144053,0.6170291148665077,0.5238095238095238,0.1361111111111111,stable,0.000417754239732349,0.005798629414865577,0.006242197253433208,0.007056870070568701,0.006968641114982578,0.800470203070064,stable
73,"Caregiver, Caregiver Support, Caregiver Experience, Caregiverchild",0.004744333157617291,0.006968641114982578,0.0022243079573652878,0.4688346883468834,9,22,-0.9806658560972604,0.32675754668602375,0.5238095238095238,0.1361111111111111,stable,0.0003293066889417202,0.004744333157617291,0.006450270495214316,0.00684931506849315,0.006968641114982578,0.6937687505637637,stable
64,"Csam, Material Csam, Pornography, Enforcement",0.005798629414865577,0.009185936015204309,0.0033873066003387315,0.5841564200765976,11,29,-1.315894049610323,0.18820960622230776,0.5238095238095238,0.1361111111111111,stable,0.0010732873636099445,0.005798629414865577,0.0039533915938410324,0.01017019510170195,0.009185936015204309,0.5278615340284502,stable
96,College students & campus prevention,0.0031628887717448603,0.008235666772252138,0.005072778000507278,1.6038433111603845,6,26,-2.201512159809757,0.027699786820691852,0.5238095238095238,0.1361111111111111,stable,0.0007500086835275962,0.0031628887717448603,0.0024968789013732834,0.006019095060190951,0.008235666772252138,0.22159829456553481,stable
33,"Dissociation, Dissociative, Dissociative Experience, Identity",0.008961518186610437,0.012353500158378208,0.003391981971767771,0.37850528237902714,17,39,-1.1154496488848042,0.2646577837864106,0.4285714285714286,0.2388888888888889,stable,0.0009203812394247041,0.008961518186610437,0.009779442363712027,0.00892486508924865,0.012353500158378208,0.6514653139357799,stable
95,"Sibling, Ssa, Incest, Intrafamilial",0.002635740643120717,0.006968641114982578,0.004332900471861861,1.64390243902439,5,22,-2.0461193559822695,0.04074462906336174,0.4285714285714286,0.2388888888888889,stable,0.0008019383019383019,0.002635740643120717,0.00478568456096546,0.0049813200498132005,0.006968641114982578,0.26658850911528287,stable
100,"Medium, Social Medium, Metoo, News",0.0036900369003690036,0.006018371872030409,0.002328334971661405,0.6309787773202408,7,19,-1.1203397057926174,0.2625690279767443,0.3571428571428571,0.27509920634920637,stable,0.0003060416996908933,0.0036900369003690036,0.004161464835622139,0.0043586550435865505,0.006018371872030409,0.6514653139357799,stable
99,"Adhd, Hyperactivity, Deficit Hyperactivity, Attentiondeficit",0.004744333157617291,0.005701615457713019,0.000957282300095728,0.20177383592017734,9,18,-0.45205604330981347,0.6512286091371275,0.33333333333333337,0.3813492063492063,stable,0.00018699654775604144,0.004744333157617291,0.004369538077403246,0.00394354503943545,0.005701615457713019,0.8226631208269997,stable
60,"Disease, Cardiovascular, Heart, Cardiovascular Disease",0.006852925672113864,0.0066518847006651885,-0.0002010409714486754,-0.029336517141395173,13,21,0.084660695555425,0.9325311441407576,0.33333333333333337,0.3813492063492063,stable,6.071081652476995e-05,0.006852925672113864,0.00749063670411985,0.0091324200913242,0.0066518847006651885,0.9760496749366322,stable
38,"Sport, Athlete, Coach, Harassment",0.010015814443858724,0.011086474501108648,0.0010706600572499246,0.10689695413700563,19,35,-0.3584745217401056,0.7199882314217045,0.33333333333333337,0.3813492063492063,stable,0.0017511270318538589,0.010015814443858724,0.008531002913025386,0.008509755085097551,0.011086474501108648,0.8918679376482384,stable
46,"Perceive Social, Role Social, Support Depressive, Buffer",0.008434370057986295,0.010769718086791258,0.002335348028804963,0.2768847006651884,16,34,-0.8122627434226619,0.4166408837386566,0.33333333333333337,0.3813492063492063,stable,0.0002366881521949478,0.008434370057986295,0.008322929671244279,0.007471980074719801,0.010769718086791258,0.7406949044242784,stable
6,"Attachment, Attachment Style, Style, Insecure",0.015287295730100159,0.022489705416534684,0.0072024096864345254,0.47113693707469984,29,71,-1.7802803375711937,0.07503009334255561,0.33333333333333337,0.3813492063492063,stable,0.0013244778869778869,0.015287295730100159,0.020183104452767373,0.02262349522623495,0.022489705416534684,0.3516928613107469,stable
26,"Eat, Ed, Eating, Binge Eat",0.010015814443858724,0.012353500158378208,0.0023376857145194843,0.23339946318123483,19,39,-0.7555261254138145,0.44993336280351093,0.33333333333333337,0.3813492063492063,stable,0.00047561766311766317,0.010015814443858724,0.012484394506866416,0.01266085512660855,0.012353500158378208,0.7438929378273725,stable
