UT (Unique WOS ID),Publication Year,topic_bertopic,topic_lda,topic_nmf,topic_kmeans
WOS:000596091100019,2020,16,38,78,58
WOS:001002139900001,2023,23,38,74,7
WOS:000995596900001,2023,77,38,32,6
WOS:001385857200001,2025,23,52,34,7
WOS:001041674400001,2024,74,52,76,37
WOS:001498795300001,2025,25,52,58,12
WOS:001501595700002,2025,68,38,73,37
WOS:001139731600001,2025,13,52,51,0
WOS:001258433200001,2024,12,52,5,67
WOS:001229761400001,2024,41,52,54,24
WOS:000514822200076,2020,27,38,45,70
WOS:001374084500001,2025,25,52,58,12
WOS:000669432500009,2021,13,52,69,53
WOS:000674718500001,2021,-1,52,11,71
WOS:000658356400007,2021,21,52,51,72
WOS:000818577900001,2022,50,52,53,42
WOS:001370581200001,2025,-1,52,20,62
WOS:001381407900001,2025,25,52,58,12
WOS:001174022800001,2024,23,52,34,7
WOS:000730736200007,2022,-1,38,39,25
WOS:000701934100004,2021,12,38,74,36
WOS:000576070300012,2020,-1,52,6,16
WOS:001645512200001,2025,1,38,4,77
WOS:001590333200006,2024,-1,52,74,38
WOS:000738440800001,2022,18,52,71,59
WOS:000629507600001,2021,30,52,19,24
WOS:001656125000001,2026,67,52,56,24
WOS:001105415300001,2023,2,52,56,22
WOS:000703114400001,2021,52,52,72,19
WOS:001349642600005,2024,23,52,34,7
WOS:001165794400001,2024,78,52,38,38
WOS:000628132300001,2021,32,4,25,14
WOS:000768528800001,2022,-1,52,69,48
WOS:000570792300033,2020,67,38,23,58
WOS:000983639800001,2023,29,52,68,47
WOS:000694007300034,2021,78,52,38,79
WOS:001523014300001,2025,79,38,74,29
WOS:001060109400001,2024,12,38,74,36
WOS:001145810000001,2023,40,52,43,40
WOS:000702580900002,2022,25,52,73,12
WOS:000848374500012,2022,67,52,23,58
WOS:001499301600008,2025,55,52,76,62
WOS:001288322700001,2024,93,52,79,19
WOS:001075967100001,2024,88,52,79,40
WOS:000812325300011,2022,50,52,18,42
WOS:001576094800002,2025,96,52,56,62
WOS:000658476800003,2021,87,52,64,59
WOS:000674558300014,2021,-1,38,73,53
WOS:001311868100001,2024,41,52,54,20
WOS:001633171800003,2026,60,38,69,53
WOS:000562536600044,2020,-1,52,3,46
WOS:001230184300003,2024,-1,52,74,12
WOS:000591588300009,2020,13,52,68,47
WOS:001023079400001,2023,12,38,76,36
WOS:000557867000006,2020,49,23,74,65
WOS:001290245100003,2024,17,52,26,27
WOS:001522901500022,2025,6,52,43,23
WOS:001487125100001,2025,86,52,74,19
WOS:000717364700001,2022,104,38,73,12
WOS:000687321300029,2021,13,52,51,65
WOS:001596770600001,2025,34,38,74,71
WOS:001571981900001,2025,14,52,64,28
WOS:000510711500001,2020,55,52,50,62
WOS:001490791600003,2025,46,52,27,38
WOS:001132079100064,2023,49,23,73,65
WOS:000687321300012,2021,2,52,6,22
WOS:001326600700001,2025,96,52,30,42
WOS:000922595500001,2023,19,52,56,29
WOS:001063528200003,2024,-1,52,73,40
WOS:001504850500001,2025,18,52,76,59
WOS:001520212800001,2025,16,38,76,38
WOS:000943769000001,2024,6,52,43,23
WOS:000870886300007,2022,21,52,18,72
WOS:000726054100001,2021,55,52,76,62
WOS:001254706000001,2024,-1,52,76,24
WOS:000571108500001,2020,-1,15,5,67
WOS:000635309100001,2021,23,52,34,7
WOS:000887875700001,2023,96,52,73,4
WOS:001227084000001,2024,68,38,64,37
WOS:000685047900002,2021,87,52,53,59
WOS:000788274700007,2022,46,52,51,38
WOS:001367955600001,2024,12,52,70,36
WOS:000770453600001,2023,40,38,76,40
WOS:000635975800023,2021,2,52,6,22
WOS:001527464800005,2025,61,38,76,48
WOS:001380387000001,2025,27,52,45,70
WOS:000996479700001,2023,52,52,72,59
WOS:000691610900007,2021,15,38,63,66
WOS:001335646200001,2024,55,52,76,40
WOS:001300879800001,2025,27,52,45,70
WOS:001013846700001,2025,66,38,23,58
WOS:001451288900001,2025,2,52,52,22
WOS:000528191200035,2020,-1,52,74,59
WOS:001390150400001,2025,87,52,71,49
WOS:000663091900002,2021,26,38,41,8
WOS:001318382500002,2024,31,38,5,67
WOS:000732450700001,2022,33,52,48,16
WOS:000914805200001,2023,4,38,74,17
WOS:000767673100001,2023,32,52,74,14
WOS:000556956000001,2020,85,38,73,65
WOS:001346442800002,2024,12,23,39,36
WOS:000755816900001,2022,60,23,69,25
WOS:000786139900001,2023,65,52,47,59
WOS:000860285800012,2022,26,38,41,41
WOS:001415191000001,2025,87,52,76,59
WOS:001214242900001,2024,-1,23,69,53
WOS:001449815400001,2025,50,52,73,42
WOS:001177629100001,2025,96,52,56,62
WOS:001183718100001,2024,27,52,45,70
WOS:000566726600003,2020,21,52,18,72
WOS:000782856600001,2022,33,52,48,16
WOS:000724655900001,2022,49,52,73,38
WOS:001375077900001,2026,87,52,74,59
WOS:001617285800001,2025,-1,52,9,56
WOS:001316512700001,2024,87,52,71,59
WOS:000879661000001,2023,-1,52,74,65
WOS:001011782400001,2023,26,52,41,8
WOS:001210944100003,2024,17,52,72,78
WOS:000671796600002,2021,52,52,72,72
WOS:000603612300040,2020,-1,52,19,56
WOS:001226589600001,2024,-1,23,69,53
WOS:001299469900006,2024,87,52,10,59
WOS:000869713100004,2022,60,38,69,53
WOS:001135915600001,2024,60,38,69,53
WOS:001321463900004,2024,-1,52,64,40
WOS:000635975500002,2021,79,38,4,74
WOS:001496049600009,2025,42,38,49,15
WOS:000651466100005,2021,11,23,59,18
WOS:000536263000001,2020,87,52,53,59
WOS:001300847900001,2025,13,52,51,59
WOS:001353526000001,2024,88,52,56,0
WOS:001300777500001,2025,82,52,43,23
WOS:001112756500001,2025,41,52,54,20
WOS:001117747900001,2024,77,38,74,6
WOS:000904687100001,2024,30,52,19,24
WOS:001510754300001,2025,-1,52,78,65
WOS:000591588800007,2020,26,52,72,8
WOS:001302285300001,2024,15,38,63,66
WOS:001207275000001,2024,-1,23,20,37
WOS:001097731800007,2023,65,52,76,15
WOS:000808393800001,2022,6,52,43,23
WOS:000677643500017,2021,40,38,74,40
WOS:000753141700010,2022,60,52,69,53
WOS:001103705800001,2023,32,52,70,14
WOS:000746942700001,2022,72,52,68,62
WOS:001401425800001,2025,88,52,56,40
WOS:000627789200001,2021,11,23,13,18
WOS:001518628000001,2025,-1,38,73,17
WOS:000565881500010,2020,29,52,78,7
WOS:001165307400001,2024,-1,52,49,0
WOS:001346254700001,2025,17,23,22,78
WOS:001138204400012,2024,86,52,68,47
WOS:000792771800008,2022,11,52,13,18
WOS:001069461600001,2023,6,52,43,23
WOS:000515201200001,2020,-1,52,19,62
WOS:000919786200001,2023,-1,52,76,62
WOS:001331781300001,2024,88,52,56,58
WOS:001583509900003,2026,95,38,32,15
WOS:000892989900001,2022,50,52,76,62
WOS:001354666700001,2025,29,23,68,9
WOS:000849980400001,2022,29,23,68,53
WOS:000653094300001,2021,33,52,48,59
WOS:000607392900001,2021,79,38,29,29
WOS:000791391300001,2022,40,38,76,40
WOS:000534195200017,2020,-1,52,18,42
WOS:000831312100009,2022,27,52,45,70
WOS:000920198100005,2022,29,52,68,47
WOS:000635481200001,2022,-1,38,64,28
WOS:001519214200001,2025,58,52,64,49
WOS:000787637000001,2023,-1,38,64,28
WOS:001381777500004,2024,71,38,1,2
WOS:001203181600001,2025,4,38,3,44
WOS:000566881800004,2020,14,52,71,24
WOS:000691747600012,2021,52,38,72,19
WOS:000726355400001,2021,47,52,73,37
WOS:000921152300001,2023,52,52,72,19
WOS:001375337300001,2024,88,52,56,42
WOS:000582383700005,2020,-1,38,69,8
WOS:000515201200012,2020,67,52,76,49
WOS:000510064500001,2020,55,52,64,7
WOS:001309137600001,2024,65,52,10,59
WOS:000539464900001,2020,93,52,79,28
WOS:000672839400003,2021,32,52,64,14
WOS:001076922500001,2023,55,38,49,15
WOS:000675484200022,2021,63,52,64,49
WOS:001530671300001,2025,30,52,73,42
WOS:000823063900001,2023,13,38,69,53
WOS:001205270300004,2023,19,38,71,29
WOS:001360031200001,2025,37,52,68,56
WOS:001479241900001,2025,40,52,77,40
WOS:000953539800001,2023,32,52,68,14
WOS:000662934100008,2021,9,52,53,42
WOS:000854461300001,2023,1,38,4,77
WOS:000932683000001,2023,29,52,68,47
WOS:000718866100001,2021,-1,38,61,38
WOS:000565420400001,2021,33,52,62,16
WOS:000526378000008,2020,72,52,74,0
WOS:000754612600008,2021,14,52,71,12
WOS:000682788300001,2021,-1,38,69,40
WOS:001548951300001,2025,79,52,29,29
WOS:000814552000001,2022,-1,78,56,57
WOS:001599304000001,2025,87,52,40,49
WOS:000871475400001,2022,-1,52,45,70
WOS:001018218200001,2023,97,52,72,62
WOS:000533918600001,2022,-1,52,26,62
WOS:000849611100001,2023,50,52,73,42
WOS:000585079000005,2020,18,38,74,59
WOS:000663332600002,2021,29,78,68,47
WOS:000791825400007,2022,18,52,68,59
WOS:000993845400012,2023,40,52,69,40
WOS:000682975700009,2021,53,52,50,40
WOS:001618559000001,2025,65,52,41,8
WOS:000532987500001,2020,13,23,68,18
WOS:000520951800009,2020,55,52,78,0
WOS:000737749400001,2022,30,52,73,0
WOS:001066956900001,2023,78,52,51,62
WOS:000894270300001,2022,102,52,50,0
WOS:000523926500001,2020,49,52,73,2
WOS:001020387800001,2023,-1,52,55,75
WOS:001236826900003,2024,4,77,3,17
WOS:000981790600001,2024,42,77,28,79
WOS:000528166800008,2020,12,52,5,36
WOS:001002297400001,2023,17,38,26,78
WOS:001457999500001,2025,2,52,79,22
WOS:000516543700008,2020,60,52,64,62
WOS:001190047600001,2024,9,77,53,3
WOS:001187302800001,2024,16,52,74,58
WOS:001199608000001,2024,79,38,28,79
WOS:001006797300001,2023,-1,38,69,53
WOS:001382835900001,2024,13,52,51,62
WOS:001053828900001,2023,17,15,26,78
WOS:001426325600001,2025,5,38,3,71
WOS:001448934200002,2025,-1,38,61,65
WOS:001312165600001,2024,88,52,56,24
WOS:001234245100001,2024,18,77,78,59
WOS:001058307600001,2024,6,52,60,23
WOS:001294552800011,2024,17,52,71,78
WOS:000999446000001,2023,-1,52,68,67
WOS:001587407300002,2025,16,38,23,58
WOS:000987474800001,2022,50,52,78,42
WOS:000960870500002,2022,66,38,23,58
WOS:000554448400001,2021,9,38,53,3
WOS:000539955400001,2021,26,52,76,8
WOS:001347793400001,2025,2,52,6,56
WOS:000646184900001,2021,96,38,61,40
WOS:001129133100001,2024,75,38,42,3
WOS:000846679800007,2022,49,38,74,53
WOS:000949513800001,2023,-1,52,71,0
WOS:000851575800008,2022,60,38,69,53
WOS:000891701200001,2022,10,23,22,9
WOS:000565881500026,2020,31,52,5,67
WOS:000906288000001,2023,89,52,27,38
WOS:000531519700002,2020,79,38,4,74
WOS:000692511500001,2022,65,38,49,15
WOS:000885363400003,2022,13,38,51,53
WOS:001246377200001,2025,104,38,49,15
WOS:001162542800002,2023,6,52,43,42
WOS:001291399100001,2025,88,52,56,59
WOS:000685243200056,2021,-1,38,49,35
WOS:001076808500003,2024,-1,52,54,20
WOS:000537290700005,2020,6,52,43,23
WOS:001211056200001,2024,12,38,74,36
WOS:001043774200001,2023,26,52,41,8
WOS:000509079900001,2020,24,77,77,65
WOS:000534919100001,2020,18,52,61,59
WOS:001082711300001,2024,16,38,64,58
WOS:000606905100001,2021,12,52,5,67
WOS:001008650300001,2023,17,52,56,41
WOS:000598116900018,2020,84,78,47,26
WOS:001592229900001,2025,-1,52,76,62
WOS:001187232000001,2024,31,52,74,67
WOS:000567027800009,2020,60,38,69,53
WOS:000610020200003,2021,92,52,70,47
WOS:000761311200002,2023,96,38,76,62
WOS:000798074200009,2022,-1,52,72,24
WOS:000611241000001,2021,49,38,73,2
WOS:001581336600001,2025,1,38,4,77
WOS:000836624800001,2022,87,52,47,59
WOS:000612356400019,2021,89,38,74,71
WOS:000695775300003,2023,39,52,74,56
WOS:001097227500001,2023,26,52,41,8
WOS:001488783300001,2025,-1,52,76,20
WOS:001608018900001,2025,-1,38,51,41
WOS:001310435100009,2024,17,15,5,41
WOS:000923554300003,2022,63,52,76,49
WOS:000558403600001,2021,16,52,74,40
WOS:000663776700013,2021,17,52,26,27
WOS:000906802100001,2023,79,52,29,29
WOS:000968680000008,2022,80,77,3,46
WOS:001037042700001,2023,21,52,53,72
WOS:000659385300002,2021,97,52,76,62
WOS:001590337300005,2022,32,52,25,14
WOS:001281681000001,2024,21,52,68,72
WOS:001590339600016,2023,18,52,74,59
WOS:001356438200001,2025,-1,52,74,0
WOS:001383517000001,2025,33,38,48,16
WOS:000541423900038,2020,6,52,43,23
WOS:001273538600001,2024,32,4,78,14
WOS:000915588000001,2023,62,52,8,0
WOS:001333016800001,2024,40,52,79,40
WOS:000616382000001,2020,100,52,6,22
WOS:000850191800001,2020,-1,38,64,28
WOS:001581346000001,2026,20,77,74,40
WOS:000623093500011,2021,-1,77,74,2
WOS:001233284200001,2024,50,52,73,42
WOS:000943518500001,2024,58,38,39,25
WOS:000609560700001,2021,62,52,42,62
WOS:000999000200005,2023,46,52,74,38
WOS:000868506300022,2022,1,23,69,53
WOS:001477831300001,2025,88,52,56,62
WOS:000513703100001,2020,66,38,74,58
WOS:000635975800022,2021,12,38,5,36
WOS:001494514200001,2025,31,52,5,67
WOS:001603666800005,2025,60,38,69,53
WOS:000519466800006,2020,66,52,76,58
WOS:001336462500001,2025,49,38,73,15
WOS:000657541500003,2021,-1,38,74,67
WOS:000543101300017,2020,-1,52,50,0
WOS:000517149100010,2020,68,38,20,37
WOS:000517359200001,2020,27,52,45,24
WOS:000656870300012,2021,31,52,65,3
WOS:000514512200001,2022,66,38,74,58
WOS:000957285000001,2023,66,52,72,58
WOS:000591588300032,2020,23,52,74,7
WOS:000863855700003,2022,86,52,5,41
WOS:001378159700007,2024,6,52,43,23
WOS:001138014500001,2023,3,38,60,40
WOS:000668622500001,2021,11,23,13,18
WOS:001524922500001,2025,55,38,69,53
WOS:000524215600001,2020,56,38,46,65
WOS:000812739600001,2022,17,52,26,27
WOS:001099888000001,2023,13,38,51,79
WOS:001459099100001,2025,40,38,61,40
WOS:001296948500001,2025,60,38,69,53
WOS:000750753900001,2023,88,52,56,48
WOS:001599129200001,2025,38,52,57,22
WOS:000830831500001,2022,26,38,4,11
WOS:000606826700013,2021,-1,77,62,32
WOS:000523867700001,2022,14,52,59,73
WOS:000815416700001,2024,52,38,72,19
WOS:000906630900001,2023,67,52,51,67
WOS:000698640200001,2021,-1,52,73,0
WOS:000732558200001,2023,19,38,55,29
WOS:000741337400013,2021,58,23,39,25
WOS:000969154500001,2024,41,38,56,71
WOS:000821882300011,2022,30,52,19,24
WOS:000791228600016,2022,16,38,23,58
WOS:001615097300001,2025,18,52,64,59
WOS:000944803800001,2023,27,52,45,36
WOS:000628813700008,2021,13,52,71,0
WOS:001292253600001,2024,14,52,71,62
WOS:001631112400001,2025,6,52,3,46
WOS:000822276100001,2022,80,38,74,71
WOS:001316794600001,2025,7,38,69,39
WOS:001620120100013,2025,23,52,34,7
WOS:001487764200001,2025,27,52,34,62
WOS:000923554300002,2022,88,52,56,7
WOS:001179320300001,2024,11,23,59,18
WOS:000716933500007,2021,66,38,23,58
WOS:000750937700001,2022,29,52,68,47
WOS:001426425100001,2025,71,38,1,2
WOS:000995820300002,2022,87,38,70,59
WOS:001201468400001,2024,40,38,49,40
WOS:001499629300014,2025,96,52,47,26
WOS:000985445700002,2024,-1,52,61,79
WOS:000555709500051,2020,-1,23,73,25
WOS:000545666900002,2020,21,52,59,72
WOS:000713394500001,2022,-1,52,74,35
WOS:000995501700002,2021,12,38,5,36
WOS:001449557600001,2025,18,52,59,59
WOS:001512477900001,2025,31,52,56,67
WOS:001561888300035,2025,14,52,71,42
WOS:001558097500001,2025,1,38,59,11
WOS:001464994200001,2025,6,52,72,23
WOS:001537955600001,2025,6,52,76,23
WOS:000640976500009,2020,40,52,79,40
WOS:001310075100001,2024,13,52,76,7
WOS:001594393600001,2025,88,52,56,70
WOS:001465507700001,2025,26,52,41,8
WOS:000818736200002,2022,53,38,61,53
WOS:000646147200001,2023,63,52,40,49
WOS:000578522400002,2020,75,77,73,56
WOS:001353745900004,2024,-1,77,74,65
WOS:000573431000015,2020,1,38,4,11
WOS:001130483000003,2023,-1,52,1,59
WOS:000677290100001,2022,16,38,23,58
WOS:001023508300018,2023,-1,23,39,25
WOS:000547781600004,2020,41,52,54,20
WOS:001361174200001,2024,41,52,54,20
WOS:000645850700001,2022,29,52,68,47
WOS:000516827400035,2020,25,38,58,12
WOS:000634300300001,2022,26,52,41,8
WOS:001414431800001,2025,21,52,18,72
WOS:001609434600002,2025,-1,52,5,41
WOS:000611881900007,2020,42,52,28,79
WOS:001281690600014,2021,29,23,68,47
WOS:001240937600001,2024,30,52,60,24
WOS:001240605400001,2024,12,52,79,15
WOS:000620084800002,2021,-1,23,59,0
WOS:000507666600021,2020,88,52,56,42
WOS:001584064800001,2025,-1,52,78,53
WOS:000908686100001,2023,87,52,70,59
WOS:001507728300012,2025,30,52,19,24
WOS:000619348900001,2022,38,77,57,54
WOS:001419944400006,2025,13,52,51,7
WOS:000574984400010,2020,63,52,60,49
WOS:001102862500009,2023,89,52,50,59
WOS:000744027000021,2022,13,52,51,40
WOS:000646072500007,2021,62,52,43,65
WOS:000676828100001,2022,87,23,47,59
WOS:001088052900001,2024,42,52,74,62
WOS:000721258900006,2021,27,52,45,70
WOS:001459115900002,2025,55,52,74,7
WOS:001063429200004,2023,14,52,71,7
WOS:001151864200001,2024,65,38,76,40
WOS:000510528700013,2020,4,52,78,46
WOS:001546261500002,2025,40,38,36,40
WOS:001615697400003,2025,-1,52,6,63
WOS:000840658000001,2022,17,52,19,78
WOS:001108548400001,2024,62,52,74,22
WOS:001267218400001,2024,72,52,60,42
WOS:000719793300001,2021,85,38,73,53
WOS:001465587400037,2025,13,38,51,29
WOS:000680711100001,2022,50,52,4,77
WOS:000657248800008,2021,2,52,55,22
WOS:000733143000001,2021,94,52,50,29
WOS:000933068500001,2023,78,52,46,48
WOS:000793576200004,2022,1,38,4,77
WOS:001399412700001,2021,1,52,4,77
WOS:001532005400001,2025,29,52,68,47
WOS:001462045100001,2025,37,38,76,56
WOS:000855830000001,2022,30,52,76,24
WOS:000625910700001,2022,26,52,41,8
WOS:001454997600001,2025,4,38,73,17
WOS:000803264600008,2022,67,52,74,15
WOS:000918517600001,2023,96,52,45,70
WOS:000655555400005,2021,27,52,45,70
WOS:000609882100024,2021,-1,52,76,20
WOS:000606753400011,2020,-1,38,74,15
WOS:001663079600007,2025,6,52,20,37
WOS:001178697400001,2024,60,38,69,53
WOS:001611690500001,2025,2,52,55,40
WOS:000879013200004,2022,-1,52,51,67
WOS:001648395100001,2026,17,52,56,78
WOS:000747291900090,2022,72,23,59,73
WOS:001004308100001,2023,26,52,41,8
WOS:000877832500017,2022,18,52,13,59
WOS:001655692900024,2025,30,52,19,24
WOS:000579612500001,2021,18,52,59,59
WOS:000743782500001,2022,83,77,2,51
WOS:001333354800001,2024,50,52,62,42
WOS:001494976800048,2025,55,52,60,62
WOS:001394841400003,2024,101,77,74,65
WOS:001520065900005,2025,-1,52,67,62
WOS:000727917500001,2023,13,52,74,65
WOS:001069114500001,2024,62,52,74,62
WOS:000777110900001,2022,13,38,51,37
WOS:000812359100024,2022,-1,52,34,67
WOS:000637809000008,2021,28,78,7,26
WOS:000675866400001,2021,42,38,28,79
WOS:000873745800001,2023,68,52,73,37
WOS:001204428000001,2024,17,52,26,27
WOS:001449136100001,2025,9,77,53,3
WOS:001426429800001,2025,92,23,59,53
WOS:001623569900001,2026,17,52,26,78
WOS:000725601900001,2021,31,52,76,67
WOS:000815977900001,2022,51,77,60,60
WOS:001528994600002,2025,-1,52,56,58
WOS:001500510800001,2025,-1,52,60,53
WOS:001378472800001,2024,16,38,58,58
WOS:000536607600006,2020,26,52,41,8
WOS:000656735300001,2021,11,23,13,18
WOS:000720371500011,2021,-1,38,61,15
WOS:001335829300020,2022,66,52,45,70
WOS:001072854000001,2024,10,52,22,9
WOS:000859466700003,2022,54,38,75,2
WOS:000617825400001,2021,-1,52,74,62
WOS:000606717200001,2021,33,52,48,16
WOS:001004036600001,2023,-1,52,6,22
WOS:000716275000001,2021,30,52,70,24
WOS:000697191100002,2021,29,52,68,47
WOS:000916611300001,2023,-1,52,79,0
WOS:001214093900002,2024,66,38,70,58
WOS:001565946800001,2025,72,52,60,0
WOS:000670427300004,2021,87,52,13,18
WOS:000695211000007,2021,8,38,74,75
WOS:000896849700002,2023,-1,77,67,65
WOS:001134757200001,2024,27,52,45,70
WOS:001533700700010,2023,29,52,68,47
WOS:001352010400004,2024,13,52,56,7
WOS:001548244500002,2025,65,52,39,25
WOS:000518875600018,2020,18,52,25,59
WOS:001663079600001,2025,31,52,5,67
WOS:000692906900013,2021,95,52,60,40
WOS:000878634600018,2022,26,38,74,8
WOS:000514403200003,2020,1,52,4,64
WOS:000829452000034,2022,29,52,68,47
WOS:000785511900001,2022,31,52,76,67
WOS:001026470600001,2023,40,52,49,40
WOS:000759841900001,2022,10,23,22,9
WOS:000814742400002,2022,6,52,43,36
WOS:000536716600009,2020,104,38,73,53
WOS:001368507400001,2025,66,38,71,58
WOS:001181009300001,2024,1,38,4,77
WOS:000897788800002,2022,25,52,58,12
WOS:001332451700001,2024,13,38,69,53
WOS:000658753000016,2021,-1,52,69,53
WOS:000519226700020,2020,12,38,74,65
WOS:001417128500001,2025,96,52,49,62
WOS:001539710600002,2025,26,38,76,53
WOS:000732062800013,2022,26,52,41,8
WOS:000531077400016,2020,-1,52,73,4
WOS:000612286000033,2021,29,52,68,47
WOS:001482089600001,2025,84,78,47,26
WOS:000849171400001,2023,31,38,74,67
WOS:000613510500043,2021,-1,78,68,57
WOS:001396268400001,2025,18,78,7,57
WOS:000556003800020,2020,-1,52,41,8
WOS:000958974100019,2023,-1,52,8,0
WOS:000953572100001,2023,32,4,25,14
WOS:000956427000001,2023,30,52,19,24
WOS:000848145600004,2022,13,52,51,0
WOS:000663549000024,2021,14,52,71,40
WOS:001318432600004,2024,-1,52,41,40
WOS:000773751900002,2022,60,23,69,53
WOS:000821192400007,2022,3,38,74,4
WOS:001454715800001,2026,32,52,64,14
WOS:000925384000001,2023,31,38,5,67
WOS:000935004000001,2023,51,77,74,30
WOS:000585226600001,2020,26,52,41,8
WOS:001200096100001,2025,40,38,64,28
WOS:000612275500017,2021,66,52,43,23
WOS:001447604100001,2025,88,52,56,40
WOS:001346271800001,2025,54,38,75,22
WOS:001640568600001,2025,-1,52,74,71
WOS:000751293300001,2022,15,38,63,66
WOS:001030177100001,2023,53,52,71,62
WOS:000918745200001,2023,17,52,19,78
WOS:000705908900001,2021,99,52,70,62
WOS:001278460400004,2024,18,23,39,59
WOS:000619295400084,2021,65,52,71,73
WOS:001606933600001,2026,29,52,68,29
WOS:000519085000006,2020,99,52,70,47
WOS:001201138500001,2024,-1,52,74,59
WOS:000979712200006,2023,93,52,79,21
WOS:000570907400001,2021,1,38,4,77
WOS:001501844200001,2025,50,52,55,42
WOS:000838208700001,2022,21,52,74,72
WOS:000590501700004,2021,68,38,76,37
WOS:000507666600029,2020,55,52,74,62
WOS:000602600000007,2021,58,23,39,25
WOS:001555072000001,2025,31,52,56,67
WOS:000740756000001,2023,19,38,29,29
WOS:000542465800001,2020,-1,52,64,26
WOS:000520892700024,2020,12,38,73,67
WOS:001088442000001,2024,26,38,64,8
WOS:001651129900003,2025,99,38,70,77
WOS:000849764700001,2023,52,77,72,19
WOS:001194114200001,2024,83,38,4,43
WOS:000572340700015,2020,42,38,74,15
WOS:001497350900001,2025,6,52,43,23
WOS:000730564300001,2021,46,52,51,7
WOS:000950037600001,2024,58,23,39,25
WOS:000698640900013,2021,53,38,76,40
WOS:001634892200012,2025,67,52,68,23
WOS:001502893600001,2025,26,52,41,8
WOS:000916041300018,2023,14,52,71,47
