model_a,model_b,ari_all,nmi_all,ari_non_outlier,nmi_non_outlier
bertopic,bertopic,1.0,1.0,1.0,1.0
bertopic,lda,0.03299171837137647,0.19776339863142495,0.04126749037107538,0.2263183120389488
bertopic,nmf,0.10435415077733605,0.42423628942882546,0.2704332998988153,0.4912720187409805
bertopic,kmeans,0.1379270989893711,0.5334235506096145,0.3856773018981273,0.6146909348012063
lda,lda,1.0,1.0,,
lda,nmf,0.03549066914327371,0.1965202863750546,,
lda,kmeans,0.04688641156612018,0.27651940002160263,,
nmf,nmf,1.0,1.0,,
nmf,kmeans,0.20230920694671606,0.461461743723058,,
kmeans,kmeans,1.0,1.0,,
