bertopic_id,display_name,lda_aligned,nmf_aligned,kmeans_aligned,triangulated_terms,n_triangulated_terms,triangulated_nps,n_triangulated_nps,mean_paradigm_jaccard
30,"Emotion Regulation, Dysregulation, Emotion Dysregulation, Regulation Strategy",68.0,19.0,24.0,"emotion regulation, dysregulation, emotion dysregulation, regulation strategy, difficulty emotion, regulation difficulty, regulation, emotion, strategy",9,"emotion regulation, and emotion, emotion dysregulation, the relationship, regulation strategies, the present, the mediating, regulation difficulties",9,0.3759398496240601
32,"Psychometric, Psychometric Property, Internal Consistency, Property",4.0,25.0,14.0,"psychometric, psychometric property, internal consistency, property, consistency, internal, validity, reliability, item",9,"psychometric properties, the psychometric, and reliability, the this, this aimed, and validation, and validity, internal consistency",8,0.5325077399380805
26,"Eat, Ed, Eating, Binge Eat",58.0,41.0,8.0,"eat, ed, eating, binge eat, binge, nervosa, anorexia, anorexia nervosa, bulimia",9,"and eating, with eating, anorexia nervosa, binge eating, the relationship, disordered eating, has been, with anorexia",8,0.5588235294117648
103,Adverse childhood experiences (ACE),,33.0,35.0,"racial, black, american, discrimination, white, african american, race, ethnic, disparity",9,"racial ethnic, african american, the united, united states, and ethnic",5,0.4583333333333333
17,Suicidality & suicidal ideation,26.0,26.0,27.0,"nssi, nonsuicidal, self, injury, suicidal self, self injury, non suicidal, suicidal",8,"and nssi, nonsuicidal nssi, the mediating, the relationship, with nssi, this aimed, mediating role, the role",8,0.11
6,"Attachment, Attachment Style, Style, Insecure",74.0,43.0,23.0,"attachment, attachment style, style, insecure, insecure attachment, attachment anxiety, anxious, avoidant",8,"the relationship, insecure attachment, and attachment, attachment styles, the role, the mediating, the present, role attachment",9,0.41118421052631576
27,"Sleep, Sleep Quality, Sleep Disturbance, Disturbance",21.0,45.0,70.0,"sleep, sleep quality, sleep disturbance, disturbance, sleep problem, sleep duration, duration, insomnia",8,"and sleep, sleep quality, the relationship, sleep disturbances, sleep problems, sleep disturbance, has been",7,0.3198380566801619
10,Epigenetics & DNA methylation,66.0,22.0,9.0,"methylation, dna, dna methylation, epigenetic, gene, nr, cpg",7,"dna methylation, has been, have been, hpa axis, the gene, receptor gene, glucocorticoid receptor, methylation dnam",9,0.48321611253196933
5,"Injury, Fracture, Infant, Head",41.0,15.0,1.0,"injury, fracture, infant, head, pediatric, skeletal, suspect",7,"the this, the emergency, and setting, the most, with suspected, the pediatric, who presented",7,0.2807017543859649
12,Suicidality & suicidal ideation,15.0,5.0,36.0,"attempt, suicide attempt, suicidal, ideation, attempt suicide, suicidal ideation, suicide",7,"and suicide, suicide attempts, suicide attempt, suicidal ideation, for suicide, with suicide, and suicidal, with suicidal",10,0.520483193277311
58,"Inflammation, Il, Inflammatory, Cytokine",47.0,39.0,25.0,"inflammation, il, inflammatory, cytokine, immune, crp, marker",7,"and inflammation, has been, inflammatory markers, systemic inflammation, and inflammatory, have been, major depressive, the relationship",8,0.42857142857142855
63,"Executive, Executive Function, Ef, Work Memory",10.0,40.0,49.0,"executive, executive function, work memory, performance, memory, deficit, task",7,"executive function, and executive, executive functioning, executive functions, adverse experiences, working memory, the relationship, has been",8,0.3913043478260869
20,"Church, Catholic, Clergy, Religious",36.0,44.0,69.0,"church, catholic, clergy, religious, crisis, spiritual, institutional",7,"catholic church, the catholic, the church, roman catholic, the crisis, has been, the roman, this paper",8,0.31
0,Maternal & infant mental health,23.0,12.0,5.0,"rat, mouse, maternal separation, separation, expression, maternal",6,"maternal separation, has been, the development, prefrontal cortex, the impact, the present, have been, and rats",8,0.45309597523219813
33,"Dissociation, Dissociative, Dissociative Experience, Identity",7.0,48.0,16.0,"dissociation, dissociative, dissociative experience, identity, dissociative identity, amnesia",6,"dissociative experiences, and dissociative, and dissociation, the dissociative, the relationship, dissociative identity, with dissociative, this aimed",8,0.3336842105263158
25,"Pain, Chronic Pain, Pelvic, Pelvic Pain",35.0,58.0,12.0,"pain, chronic pain, pelvic, pelvic pain, fibromyalgia, chronic",6,"chronic pain, with chronic, and pain, adverse experiences, and chronic, the relationship, has been",7,0.3071428571428571
29,"Bd, Bipolar, Mood, Bipolar Bd",45.0,68.0,47.0,"bd, bipolar, mood, bipolar bd, episode, onset",6,"with bipolar, major depressive, and bipolar, and healthy, and with, the relationship, this aimed",7,0.3649885583524027
