topic,display_name,n_documents
0,Maternal & infant mental health,843
1,Adverse childhood experiences (ACE),758
2,PTSD treatment (EMDR / trauma-focused CBT),442
3,"Csa, Csa Survivor, Experience Csa, Survivor Csa",347
4,Intimate partner violence,323
5,"Injury, Fracture, Infant, Head",313
6,"Attachment, Attachment Style, Style, Insecure",306
7,COVID-19 pandemic impact,270
8,"Worker, Protection, Social Work, Social Worker",266
9,"Offender, Offend, Juvenile, Criminal",266
10,Epigenetics & DNA methylation,247
11,"Cortisol, Hpa, Axis, Hpa Axis",243
13,"Cm, Mdd, History Cm, Relationship Cm",227
14,Adverse childhood experiences (ACE),218
15,"Hiv, Live Hiv, Adherence, Hiv Aid",207
16,"Drug, Opioid, Cannabis, Misuse",204
18,Psychosis & psychotic-like experiences,197
20,"Church, Catholic, Clergy, Religious",194
21,Borderline personality disorder,191
22,"Rape, Perpetrator, Assault, Myth",187
23,"Mdd, Major Depressive, Depressive Mdd, Gyrus",186
24,"Interviewer, Forensic Interview, Investigative, Forensic",185
25,"Pain, Chronic Pain, Pelvic, Pelvic Pain",183
26,"Eat, Ed, Eating, Binge Eat",179
27,"Sleep, Sleep Quality, Sleep Disturbance, Disturbance",170
28,"Connectivity, Functional, Functional Connectivity, Restingstate",167
29,"Bd, Bipolar, Mood, Bipolar Bd",165
30,"Emotion Regulation, Dysregulation, Emotion Dysregulation, Regulation Strategy",165
33,"Dissociation, Dissociative, Dissociative Experience, Identity",146
34,"Violence Exposure, Genderbased, Genderbased Violence, Exposure Violence",146
35,"Disability, Intellectual, Intellectual Disability, Id",144
36,Image-based sexual abuse,141
37,"Parentchild, Parentchild Relationship, Parenting, Parentchild Interaction",140
38,"Sport, Athlete, Coach, Harassment",136
39,Maternal & infant mental health,135
40,"Depression Anxiety, Anxiety Depression, Anxiety Depressive, Trait Anxiety",134
41,"Externalize, Internalize, Internalize Externalize, Externalize Problem",133
42,College students & campus prevention,132
43,"Traumainformed, Traumainformed Care, Traumainformed Practice, Principle",132
44,"Elder, Mistreatment, Elderly, Financial",130
45,Adverse childhood experiences (ACE),126
46,"Perceive Social, Role Social, Support Depressive, Buffer",126
47,"Memory, False, Autobiographical, Autobiographical Memory",124
48,"Teacher, Classroom, Attitude, Learner",122
49,"Woman Experience, Reproductive, Premenstrual, Family Plan",121
50,"Trait, Personality Trait, Personality Function, Personality Pathology",120
51,"Disclosure, Disclose, Csa, Tell",120
52,"Selfesteem, Rosenberg, Rosenberg Selfesteem, Role Selfesteem",119
53,"Adverse Event, Growth, Mortality, Trajectory",119
54,"Veteran, Military, Combat, Military Veteran",119
55,"Psychotherapy, Chronic Depression, Antidepressant, Major Depression",119
56,"Polyvictimization, Victimization Experience, Type Victimization, Violent Victimization",118
57,"Young People, People Experience, Harmful, Helpseeking",118
58,"Inflammation, Il, Inflammatory, Cytokine",117
59,"Intimate, Intimate Partner, Partner Violence, Coercive",115
60,"Disease, Cardiovascular, Heart, Cardiovascular Disease",114
61,College students & campus prevention,114
62,"Mindfulness, Satisfaction, Couple, Relationship Satisfaction",113
63,"Executive, Executive Function, Ef, Work Memory",110
64,"Csam, Material Csam, Pornography, Enforcement",108
65,Psychosis & psychotic-like experiences,105
66,"Aud, Drinking, Drink, Alcoholrelated",103
67,"Alexithymia, Toronto, Toronto Alexithymia, Ta",100
68,"Pregnancy, Postpartum, Perinatal, Unintended",100
69,"Prevention Program, Schoolbased, Skill, Curriculum",98
70,"Ptg, Heal, Inquiry, Recovery",97
71,"Domestic, Domestic Violence, Dv, Witness Domestic",97
72,"Aggression, Aggressive, Reactive, Relational Aggression",96
73,"Caregiver, Caregiver Support, Caregiver Experience, Caregiverchild",95
74,Maternal & infant mental health,94
75,"Family Member, Family Function, Family Environment, Family Dynamic",94
76,"Narrative, Story, Autonomy, Psychoanalysis",93
78,"Selfcompassion, Compassion, Shame, Selfcriticism",91
80,College students & campus prevention,89
81,"Childbirth, Maternity, Mistreatment, Obstetric",88
82,"Cptsd, Ptsd Cptsd, Icd, Complex Posttraumatic",87
83,"Experience Adverse, Household Dysfunction, Capital, Deviant",87
84,"Cortical, Matter, Thickness, Cortical Thickness",86
85,"Men Woman, Masculinity, Gay, Msm",85
87,Psychosis & psychotic-like experiences,83
89,Adverse childhood experiences (ACE),82
90,"Gut, Microbiome, Ibs, Axis",81
91,Adverse childhood experiences (ACE),78
92,"Genetic, Gene, Polymorphism, Geneenvironment",77
93,"Ocd, Obsessivecompulsive, Obsessive Compulsive, Obsessive",76
94,"Reward, Task, Neural, Processing",75
95,"Sibling, Ssa, Incest, Intrafamilial",74
96,College students & campus prevention,73
97,"Cop Strategy, Cop Style, Style, Religious",73
98,"Infection, Genital, Vaginal, Lesion",68
99,"Adhd, Hyperactivity, Deficit Hyperactivity, Attentiondeficit",67
100,"Medium, Social Medium, Metoo, News",67
101,"Divorce, Alienation, Parental Education, Parental Divorce",67
102,"Deprivation, Threat Deprivation, Deprivation Threat, Dimensional",66
103,Adverse childhood experiences (ACE),65
104,"Hr Ci, Hr, Ci Ci, Schoolchildren",61
