UT,Publication Year,Document Type,lda_topic,lda_probability
WOS:000596091100019,2020,Article,19,0.38935228890197443
WOS:001002139900001,2023,Article,2,0.24529769415127475
WOS:000995596900001,2023,Article,29,0.5328883244345861
WOS:001385857200001,2025,Article,2,0.6039072854110079
WOS:001041674400001,2024,Article,8,0.693134509210453
WOS:001498795300001,2025,Article,11,0.35398466734704803
WOS:001501595700002,2025,Article,30,0.5259819556811437
WOS:001139731600001,2025,Article,5,0.4284002077187352
WOS:001258433200001,2024,Article,1,0.30088800193539733
WOS:001229761400001,2024,Article,4,0.5663942800005133
WOS:000514822200076,2020,Article,15,0.34629654925798
WOS:001374084500001,2025,Article,3,0.583051005853769
WOS:000669432500009,2021,Article,1,0.31663556105163604
WOS:000674718500001,2021,Article,19,0.34070219262467155
WOS:000658356400007,2021,Article,28,0.38389308663083965
WOS:000818577900001,2022,Article,17,0.34250188019930283
WOS:001370581200001,2025,Article,4,0.560045695450449
WOS:001381407900001,2025,Article,3,0.4047292643323806
WOS:001174022800001,2024,Article,2,0.3279114121073936
WOS:000730736200007,2022,Article,30,0.34562982172885776
WOS:000701934100004,2021,Article,1,0.3947108549632189
WOS:000576070300012,2020,Article,11,0.7201305022851621
WOS:001645512200001,2025,Article,12,0.452325513213102
WOS:001590333200006,2024,Article,7,0.26186871580641014
WOS:000738440800001,2022,Article,19,0.3118459787051846
WOS:000629507600001,2021,Article,4,0.5221458572380098
WOS:001105415300001,2023,Article,11,0.3337655316254191
WOS:000703114400001,2021,Article,4,0.24543274853399555
WOS:001349642600005,2024,Article,5,0.4702566090636884
WOS:001165794400001,2024,Article,4,0.30386794032395303
WOS:000628132300001,2021,Article,12,0.7159842144825814
WOS:000768528800001,2022,Article,12,0.30411350098355777
WOS:000570792300033,2020,Article,3,0.37793342820574244
WOS:000983639800001,2023,Article,28,0.7060507258513582
WOS:000694007300034,2021,Article,4,0.48102119905725954
WOS:001523014300001,2025,Article,16,0.5207785273726291
WOS:001060109400001,2024,Article,1,0.4243070248327745
WOS:001145810000001,2023,Article; Early Access,12,0.41829484951744117
WOS:000702580900002,2022,Article,22,0.21077968532703728
WOS:000848374500012,2022,Article,4,0.30554623000244135
WOS:001499301600008,2025,Article,30,0.29760649275848094
WOS:001288322700001,2024,Article,17,0.4660990313392505
WOS:001075967100001,2024,Article,16,0.19988667938135696
WOS:000812325300011,2022,Article,28,0.3081530494891135
WOS:001576094800002,2025,Article,20,0.2917215324562809
WOS:000658476800003,2021,Article,5,0.5082358314904529
WOS:000674558300014,2021,Article,13,0.3825093470076778
WOS:001311868100001,2024,Article,12,0.19992214481504503
WOS:000562536600044,2020,Article,24,0.4744188968085555
WOS:001230184300003,2024,Article,3,0.18739481558516619
WOS:000591588300009,2020,Article,1,0.369467825214048
WOS:001023079400001,2023,Article,1,0.48924522730035064
WOS:000557867000006,2020,Article,26,0.20039958837946434
WOS:001290245100003,2024,Article,16,0.4041720841864701
WOS:001522901500022,2025,Article,4,0.4121941716801221
WOS:001487125100001,2025,Article,16,0.39868437057162837
WOS:000717364700001,2022,Article,29,0.35703114075632486
WOS:000687321300029,2021,Article,29,0.45244735032710415
WOS:001596770600001,2025,Article; Early Access,24,0.41787956387522474
WOS:001571981900001,2025,Article,30,0.5878721572017297
WOS:000510711500001,2020,Article,4,0.3245661534381747
WOS:001490791600003,2025,Article,30,0.4807022393804698
WOS:001132079100064,2023,Article,13,0.3308863716186738
WOS:000687321300012,2021,Article,11,0.7487125355369612
WOS:001326600700001,2025,Article,4,0.44816532087648203
WOS:000922595500001,2023,Article,16,0.20059594444764822
WOS:001063528200003,2024,Article,5,0.24311177888783964
WOS:001504850500001,2025,Article,4,0.44875778298263963
WOS:001520212800001,2025,Article,30,0.32803296879540267
WOS:000943769000001,2024,Article,4,0.7661630578463031
WOS:000870886300007,2022,Article,28,0.5116431117457432
WOS:000726054100001,2021,Article,16,0.2787085611985048
WOS:001254706000001,2024,Article,16,0.32675431382339143
WOS:000571108500001,2020,Article,1,0.3234730585871853
WOS:000635309100001,2021,Article,17,0.5230296560165201
WOS:000887875700001,2023,Article,24,0.31509694684189116
WOS:001227084000001,2024,Article,18,0.45324968302171864
WOS:000685047900002,2021,Article,5,0.453267974681234
WOS:000788274700007,2022,Article,1,0.358909947821401
WOS:001367955600001,2024,Article,1,0.5232408534377395
WOS:000770453600001,2023,Article,30,0.29650239208459384
WOS:000635975800023,2021,Article,11,0.5102486682339848
WOS:001527464800005,2025,Article,16,0.24196342373431523
WOS:001380387000001,2025,Article,15,0.4031647845228279
WOS:000996479700001,2023,Article,19,0.4100295362594445
WOS:000691610900007,2021,Article,3,0.39766529588126565
WOS:001335646200001,2024,Article,4,0.4040887443881872
WOS:001300879800001,2025,Article,15,0.35986759801753904
WOS:001013846700001,2025,Article,5,0.4984822832748066
WOS:001451288900001,2025,Article,11,0.3194514369066133
WOS:000528191200035,2020,Article,19,0.4562848172740825
WOS:001390150400001,2025,Article,5,0.3394580031335512
WOS:000663091900002,2021,Article,9,0.2607586858724945
WOS:001318382500002,2024,Article,24,0.5684130865053619
WOS:000732450700001,2022,Article,30,0.33399944371927515
WOS:000914805200001,2023,Article,24,0.40583719109750516
WOS:000767673100001,2023,Article,12,0.46951356270578515
WOS:000556956000001,2020,Article,24,0.4734298147173977
WOS:001346442800002,2024,Article,1,0.5137103660725547
WOS:000755816900001,2022,Article,27,0.3228181975559698
WOS:000786139900001,2023,Article,19,0.2476898028230188
WOS:000860285800012,2022,Article,30,0.22942395600627735
WOS:001415191000001,2025,Article,16,0.41362583397792524
WOS:001214242900001,2024,Article,27,0.5306385102194296
WOS:001449815400001,2025,Article,28,0.2824731964487146
WOS:001177629100001,2025,Article,4,0.2866311912603053
WOS:001183718100001,2024,Article,15,0.4276366621249088
WOS:000566726600003,2020,Article,8,0.5390853709875599
WOS:000782856600001,2022,Article,19,0.31991180398891583
WOS:000724655900001,2022,Article,8,0.3007011097194643
WOS:001617285800001,2025,Article,28,0.3930550134833786
WOS:001316512700001,2024,Article,5,0.2727593606225471
WOS:000879661000001,2023,Article,5,0.43380073423664123
WOS:001011782400001,2023,Article,4,0.3112243818924878
WOS:001210944100003,2024,Article,18,0.5285293262664502
WOS:000671796600002,2021,Article,4,0.3043953489051197
WOS:000603612300040,2020,Article,28,0.38889632354341086
WOS:001226589600001,2024,Article,13,0.399626008215188
WOS:001299469900006,2024,Article,19,0.5885053935822737
WOS:000869713100004,2022,Article,13,0.3481470932925281
WOS:001135915600001,2024,Article,27,0.7961144827722801
WOS:001321463900004,2024,Article,28,0.46658201381411185
WOS:000635975500002,2021,Article,29,0.34742991824635727
WOS:001496049600009,2025,Article,30,0.4483130467749168
WOS:000651466100005,2021,Article,21,0.5661305951466766
WOS:000536263000001,2020,Article,19,0.3634066906280274
WOS:001300847900001,2025,Article,5,0.310843956908032
WOS:001353526000001,2024,Article,16,0.4359400931502362
WOS:001300777500001,2025,Article,4,0.5172468535029713
WOS:001112756500001,2025,Article,11,0.4378708385774309
WOS:001117747900001,2024,Article,7,0.40281437402035125
WOS:000904687100001,2024,Article,4,0.9800353611030431
WOS:001510754300001,2025,Article,4,0.3886357211801884
WOS:000591588800007,2020,Article,20,0.38815713179367106
WOS:001302285300001,2024,Article,30,0.6145112645055077
WOS:001207275000001,2024,Article,8,0.25141568410770815
WOS:001097731800007,2023,Article,16,0.32358848723971756
