phrase,count
the relationship,2526
logistic regression,1282
the development,1104
partner violence,919
intimate partner violence,895
the mediating,844
and depression,809
and setting,664
structural equation,625
and violence,463
the importance,449
the influence,445
emotion regulation,441
domestic violence,438
suicidal ideation,414
the presence,414
this relationship,405
equation modeling,401
the experience,393
structural equation modeling,384
linear regression,378
with depression,372
maternal separation,363
the moderating,351
and substance,347
and adulthood,338
borderline personality,314
and resilience,313
magnetic resonance,306
and exposure,297
the majority,295
the underlying,290
and development,285
the severity,283
resonance imaging,277
magnetic resonance imaging,272
for depression,263
the following,255
and severity,237
and during,237
