topic,phrase,count
0,the disclosure,39
0,and setting,36
0,and disclosure,22
0,the quality,22
0,the relationship,18
0,the influence,17
0,csa disclosure,16
0,the importance,15
0,the likelihood,13
0,the nature,13
0,rapport building,13
0,the credibility,12
0,the presence,12
0,metoo movement,11
0,the majority,11
1,suicidal ideation,140
1,logistic regression,107
1,the relationship,60
1,suicide ideation,38
1,with suicidal ideation,34
1,and suicidality,28
1,and suicidal ideation,27
1,for suicidal ideation,22
1,major depression,22
1,the presence,22
1,and depression,20
1,and substance,18
1,suicide prevention,17
1,the mediating,16
1,with depression,15
2,magnetic resonance,134
2,resonance imaging,122
2,magnetic resonance imaging,118
2,the relationship,82
2,functional magnetic resonance,54
2,cortical thickness,49
2,the development,48
2,functional connectivity,48
2,and depression,40
2,and inflammation,34
2,functional magnetic resonance imaging,32
2,major depression,31
2,with depression,27
2,structural magnetic resonance,25
2,for depression,24
3,and substance,89
3,logistic regression,85
3,the relationship,83
3,with substance,51
3,the development,27
3,for substance,26
3,and severity,19
3,alcohol consumption,17
3,binge drinking,17
3,the substance,17
3,partner violence,17
3,intimate partner violence,17
3,and depression,16
3,and setting,16
3,young adulthood,16
4,the relationship,587
4,the mediating,429
4,structural equation,264
4,emotion regulation,251
4,equation modeling,185
4,structural equation modeling,179
4,the development,132
4,this relationship,128
4,and emotion,114
4,and depression,114
4,the moderating,101
4,and attachment,98
4,insecure attachment,93
4,moderated mediation,89
4,mediated the relationship,87
5,the relationship,95
5,the development,69
5,executive function,48
5,emotion regulation,46
5,executive functioning,45
5,and deprivation,35
5,and depression,33
5,heart variability,28
5,threat and deprivation,28
5,and functioning,27
5,and emotion,27
5,and externalizing,25
5,and development,25
5,social cognition,24
5,the influence,24
6,functional connectivity,127
6,magnetic resonance,100
6,resonance imaging,96
6,magnetic resonance imaging,95
6,functional magnetic resonance,66
6,the development,58
6,the relationship,53
6,machine learning,49
6,functional magnetic resonance imaging,38
6,tensor imaging,33
6,diffusion tensor imaging,31
6,and functional connectivity,26
6,and connectivity,24
6,and depression,19
6,the underlying,17
7,and parenting,24
7,the relationship,24
7,corporal punishment,23
7,the parenting,18
7,positive parenting,16
7,and setting,12
7,the influence,11
7,logistic regression,11
7,the effectiveness,10
7,harsh parenting,9
7,the mediating,8
7,the feasibility,8
7,the presence,7
7,and corporal punishment,6
7,the moderating,5
8,the relationship,113
8,and setting,73
8,intergenerational transmission,68
8,logistic regression,54
8,structural equation,50
8,the development,47
8,the intergenerational transmission,42
8,and development,40
8,and externalizing,39
8,the importance,38
8,and offspring,38
8,and parenting,37
8,and wellbeing,36
8,maternal depression,35
8,equation modeling,34
9,csa prevention,43
9,the effectiveness,42
9,the relationship,40
9,the prevention,35
9,and reporting,32
9,and setting,32
9,the majority,24
9,the importance,23
9,the development,22
9,for prevention,21
9,logistic regression,20
9,and prevention,19
9,prevention education,19
9,the awareness,18
